Comunidades y ciudades autónomas;Ramas de actividad;Magnitud;Periodo;Total
Andalucía;L. Actividades inmobiliarias;Tasas de variación interanuales;2019;3,2
Andalucía;L. Actividades inmobiliarias;Tasas de variación interanuales;2018;3,4
Andalucía;L. Actividades inmobiliarias;Tasas de variación interanuales;2017;1,3
Andalucía;L. Actividades inmobiliarias;Tasas de variación interanuales;2016;..
Andalucía;L. Actividades inmobiliarias;Estructura porcentual;2022(A);11,5
Andalucía;L. Actividades inmobiliarias;Estructura porcentual;2021(P);12
Andalucía;L. Actividades inmobiliarias;Estructura porcentual;2020;12,9
Andalucía;L. Actividades inmobiliarias;Estructura porcentual;2019;11,6
Andalucía;L. Actividades inmobiliarias;Estructura porcentual;2018;11,5
Andalucía;L. Actividades inmobiliarias;Estructura porcentual;2017;11,5
Andalucía;L. Actividades inmobiliarias;Estructura porcentual;2016;11,9
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2022(A);10.898.251
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2021(P);10.046.304
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2020;8.832.463
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2019;10.317.005
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2018;9.414.909
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2017;8.589.455
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Valor;2016;8.061.409
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2022(A);8,5
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2021(P);13,7
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2020;-14,4
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2019;9,6
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2018;9,6
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2017;6,6
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Tasas de variación interanuales;2016;..
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2022(A);6
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2021(P);6,1
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2020;5,9
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2019;6,3
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2018;5,9
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2017;5,5
Andalucía;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Estructura porcentual;2016;5,4
Andalucía;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2022(A);35.709.189
Andalucía;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2021(P);34.131.785
Andalucía;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2020;32.973.273
Andalucía;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2019;32.862.994
Andalucía;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2018;31.778.354
Andalucía;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2017;30.704.197
Andalucía;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Valor;2016;30.009.605
Andalucía;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2022(A);4,6
Andalucía;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2021(P);3,5
Andalucía;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2020;0,3
Andalucía;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2019;3,4
Andalucía;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;Tasas de variación interanuales;2018;3,5
